bob
caseNumber,groupName,identityName,class,placeOfRescue,zoneName,zoneName2,dateAdded,rescueNotes,facility,dateOfAdmission,timeOfAdmission,food,housing,medicalCare,proposedResolution,otherResolution,ageYears,ageMonths,stage,weight,length,height,dateOfExamination,modeOfRestraint,temperature,heartRate,pulse,resperation,observationNotes,outcomeNotes,createdBy,lastUpdatedAt,lastUpdatedBy
bob
33860c04-94bd-49c9-8d75-863f691f096b,Reptile,Eagle,Mamalia,Bombay,MVS-CA,MVS-NB,Sat Aug 13 2011 05:23:59 GMT+0100 (British Summer Time),None,Unknown,15-09-2020},07:28},None,,,,,4,9,infant,140kg,246cm,137cm,Mon Jun 16 2014 23:14:31 GMT+0100 (British Summer Time),None,None,50,Yes,None,None,None,,Mon May 27 2013 21:32:42 GMT+0100 (British Summer Time),
d7af6509-39fa-485f-955c-8c6ce0a476f7,Elephant,Monkey,Reptilia,Hydrabad,MVS-NB,MVS-EA,Fri Oct 26 2018 16:44:17 GMT+0100 (British Summer Time),None,Unknown,24-01-2017},03:27},None,,,,,15,3,neonate,26kg,148cm,136cm,Mon Nov 07 2011 02:59:09 GMT+0000 (Greenwich Mean Time),None,None,53,Yes,None,None,None,,Tue Feb 10 2015 16:36:05 GMT+0000 (Greenwich Mean Time),
df2079ab-c7c9-4918-85ef-3161286dc6ab,Owl,Turtle,Aves,Hydrabad,MVS-EA,MVS-NB,Tue May 28 2013 20:29:31 GMT+0100 (British Summer Time),None,Unknown,21-07-2015},23:00},None,,,,,7,2,adult,56kg,98cm,146cm,Fri Aug 27 2010 01:33:49 GMT+0100 (British Summer Time),None,None,125,Yes,None,None,None,,Sat Jul 20 2013 17:34:16 GMT+0100 (British Summer Time),
99fd62ee-f9f2-4299-b65d-bb1cb101048e,Elephant,Owl,Mamalia,Hydrabad,MVS-CA,MVS-CA,Thu Apr 30 2020 02:55:23 GMT+0100 (British Summer Time),None,Unknown,16-10-2017},22:21},None,,,,,6,11,adult,38kg,34cm,141cm,Mon Jun 03 2013 04:14:50 GMT+0100 (British Summer Time),None,None,72,Yes,None,None,None,,Sun Mar 06 2011 06:44:31 GMT+0000 (Greenwich Mean Time),
d7589242-9090-4c69-bab9-8486d339bb67,Tiger,Owl,Mamalia,Bombay,MVS-NB,MVS-EA,Wed Dec 02 2020 00:19:54 GMT+0000 (Greenwich Mean Time),None,Unknown,06-01-2018},20:32},None,,,,,3,3,adult,103kg,105cm,66cm,Tue Jan 03 2017 15:01:03 GMT+0000 (Greenwich Mean Time),None,None,147,Yes,None,None,None,,Thu Oct 01 2020 14:28:59 GMT+0100 (British Summer Time),
c3df0504-86e8-4c6e-8c9e-a3da24ea2a08,Monkey,Eagle,Reptilia,Pune,MVS-NB,MVS-EA,Mon Oct 05 2020 03:23:23 GMT+0100 (British Summer Time),None,Unknown,30-09-2019},02:31},None,,,,,5,11,neonate,107kg,285cm,39cm,Sat Mar 17 2018 19:59:44 GMT+0000 (Greenwich Mean Time),None,None,92,Yes,None,None,None,,Sun Mar 14 2010 12:44:38 GMT+0000 (Greenwich Mean Time),
ea833ab0-e503-4fee-bbbc-b966f444c575,Reptile,Turtle,Aves,Bombay,MVS-EA,MVS-EA,Mon Oct 14 2013 03:31:08 GMT+0100 (British Summer Time),None,Unknown,01-08-2013},09:14},None,,,,,11,7,adult,106kg,216cm,56cm,Sat Jan 21 2012 19:39:10 GMT+0000 (Greenwich Mean Time),None,None,125,Yes,None,None,None,,Sat Feb 25 2012 10:31:49 GMT+0000 (Greenwich Mean Time),
dfaf4374-64a9-4983-9311-9061efdb0f07,Turtle,Deer,Aves,Hydrabad,MVS-NB,MVS-CA,Thu Jun 23 2011 09:00:51 GMT+0100 (British Summer Time),None,Unknown,16-09-2018},07:04},None,,,,,8,10,subadult,145kg,247cm,142cm,Thu Sep 27 2012 15:42:09 GMT+0100 (British Summer Time),None,None,131,Yes,None,None,None,,Fri Jan 20 2017 07:21:36 GMT+0000 (Greenwich Mean Time),
541bf457-1f2b-4eda-a869-67a8494fddbf,Eagle,Reptile,Aves,Bengal,MVS-EA,MVS-EA,Sat Sep 23 2017 07:26:46 GMT+0100 (British Summer Time),None,Unknown,05-11-2011},11:51},None,,,,,10,5,adult,98kg,91cm,74cm,Fri Jun 11 2010 17:53:49 GMT+0100 (British Summer Time),None,None,89,Yes,None,None,None,,Wed Oct 19 2016 07:11:03 GMT+0100 (British Summer Time),
