Family,Group,English Name,Scientific Name,IUCN Category
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Kites,Black-winged Kite,Elanus caeruleus,Least Concern
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Buzzards,Oriental Honey Buzzard,Pernis ptilorhynchus,Least Concern
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Besra,Besra,Accipiter virgatus,Least Concern
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Baza,Black Baza,Aviceda leuphotes,Least Concern
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Vultures,Bearded Vulture,Gypaetus barbatus,Near Threatened
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Vultures,Egyptian Vulture,Neophron percnopterus,Endangered
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Serpent eagle,Crested Serpent Eagle,Spilornis cheela,Least Concern
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Serpent eagle,Nicobar Serpent Eagle,Spilornis klossi,Near Threatened
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Serpent eagle,Andaman Serpent Eagle,Spilornis elgini,Vulnerable
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Snake eagle,Short-toed Snake Eagle,Circaetus gallicus,Least Concern
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Vultures,Red-headed Vulture,Sarcogyps calvus,Critically Endangered
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Vultures,Himalayan Vulture,Gyps himalayensis,Near Threatened
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Vultures,White-rumped Vulture,Gyps bengalensis,Critically Endangered
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Vultures,Indian Vulture,Gyps indicus,Critically Endangered
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Vultures,Slender-billed Vulture,Gyps tenuirostris,Critically Endangered
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Vultures,Griffon Vulture,Gyps fulvus,Least Concern
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Vultures,Cinereous Vulture,Aegypius monachus,Near Threatened
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Hawk eagle,Mountain Hawk Eagle,Nisaetus nipalensis,Least Concern
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Hawk eagle,Changeable Hawk Eagle,Nisaetus cirrhatus,Least Concern
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Eagles (Others),Rufous-bellied Eagle,Lophotriorchis kienerii,Near Threatened
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Eagles (Others),Black Eagle,Ictinaetus malaiensis,Least Concern
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Spotted eagle,Indian Spotted Eagle,Clanga hastata,Vulnerable
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Spotted eagle,Greater Spotted Eagle,Clanga clanga,Vulnerable
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Eagles (Others),Tawny Eagle,Aquila rapax,Vulnerable
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Eagles (Others),Steppe Eagle,Aquila nipalensis,Endangered
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Eagles (Others),Eastern Imperial Eagle,Aquila heliaca,Vulnerable
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Eagles (Others),Golden Eagle,Aquila chrysaetos,Least Concern
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Eagles (Others),Bonelli's Eagle,Aquila fasciata,Least Concern
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Eagles (Others),Booted Eagle,Hieraaetus pennatus,Least Concern
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Sparrowhawks,Chinese Sparrowhawk,Accipiter soloensis,Least Concern
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Goshawk,Crested Goshawk,Accipiter trivirgatus,Least Concern
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Harriers,Eastern Marsh Harrier,Circus spilonotus,Least Concern
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Sparrowhawks,Eurasian Sparrowhawk,Accipiter nisus,Least Concern
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Harriers,Hen Harrier,Circus cyaneus,Least Concern
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Sparrowhawks,Japanese Sparrowhawk,Accipiter gularis,Least Concern
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Baza,Jerdon's Baza,Aviceda jerdoni,Least Concern
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Harriers,Montagu's Harrier,Circus pygargus,Least Concern
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Sparrowhawks,Nicobar Sparrowhawk,Accipiter butleri,Vulnerable
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Goshawk,Northern Goshawk,Accipiter gentilis,Least Concern
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Harriers,Pallid Harrier,Circus macrourus,Near Threatened
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Harriers,Pied Harrier,Circus melanoleucos,Least Concern
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Shikra,Shikra,Accipiter badius,Least Concern
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Harriers,Western Marsh Harrier,Circus aeruginosus,Least Concern
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Sea eagles,White-bellied Sea Eagle,Haliaeetus leucogaster,Least Concern
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Fish eagles,Pallas's Fish Eagle,Haliaeetus leucoryphus,Endangered
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Sea eagles,White-tailed Sea Eagle,Haliaeetus albicilla,Least Concern
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Fish eagles,Lesser Fish Eagle,Icthyophaga humilis,Near Threatened
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Fish eagles,Grey-headed Fish Eagle,Icthyophaga ichthyaetus,Near Threatened
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Kites,Brahminy Kite,Haliastur indus,Least Concern
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Kites,Red Kite,Milvus milvus,Near Threatened
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Kites,Black Kite,Milvus migrans,Least Concern
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Buzzards,White-eyed Buzzard,Butastur teesa,Least Concern
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Buzzards,Grey-faced Buzzard,Butastur indicus,Least Concern
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Buzzards,Common Buzzard,Buteo buteo,Least Concern
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Buzzards,Himalayan Buzzard,Buteo refectus,Least Concern
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Buzzards,Long-legged Buzzard,Buteo rufinus,Least Concern
"Accipitridae (Kites, Vultures, Buzzards, Baza, Eagles, Harriers, Shikhra,Goshawk, Sparrowhawk)",Buzzards,Upland Buzzard,Buteo hemilasius,Least Concern
Acrocephalidae (Warblers),Thick-billed warbler,Thick-billed Warbler,Arundinax aedon,Least Concern
Acrocephalidae (Warblers),Tree warblers,Booted Warbler,Iduna caligata,Least Concern
Acrocephalidae (Warblers),Tree warblers,Sykes's Warbler,Iduna rama,Least Concern
Acrocephalidae (Warblers),Reed warblers,Black-browed Reed Warbler,Acrocephalus bistrigiceps,Least Concern
Acrocephalidae (Warblers),Reed warblers,Moustached Warbler,Acrocephalus melanopogon,Least Concern
Acrocephalidae (Warblers),Reed warblers,Sedge Warbler,Acrocephalus schoenobaenus,Least Concern
Acrocephalidae (Warblers),Reed warblers,Large-billed Reed Warbler,Acrocephalus orinus,Data Deficient
Acrocephalidae (Warblers),Reed warblers,Blyth's Reed Warbler,Acrocephalus dumetorum,Least Concern
Acrocephalidae (Warblers),Reed warblers,Paddyfield Warbler,Acrocephalus agricola,Least Concern
Acrocephalidae (Warblers),Reed warblers,Blunt-winged Warbler,Acrocephalus concinens,Least Concern
Acrocephalidae (Warblers),Reed warblers,Great Reed Warbler,Acrocephalus arundinaceus,Least Concern
Acrocephalidae (Warblers),Reed warblers,Oriental Reed Warbler,Acrocephalus orientalis,Least Concern
Acrocephalidae (Warblers),Reed warblers,Clamorous Reed Warbler,Acrocephalus stentoreus,Least Concern
Aegithalidae (Tits and Ioras),Long-tailed tits,White-browed Tit Warbler,Leptopoecile sophiae,Least Concern
Aegithalidae (Tits and Ioras),Long-tailed tits,Crested Tit Warbler,Leptopoecile elegans,Least Concern
