Family,Group,English Name,Scientific Name,IUCN Category
Moschidae (Musk Deer),Musk Deer,Alpine Musk Deer,Moschus chrysogaster,Endangered
Cricetidae (New World Rodents),Rats,Andaman Archipelago Rat,Rattus stoicus,Data Deficient
Rhinolophidae (Horseshoe Bats),Horseshoe Bats,Andaman Horseshoe Bat,Rhinolophus cognatus,Data Deficient
Soricidae (Shrews),Shrews,Andaman Shrew,Crocidura andamanensis,Critically Endangered
Soricidae (Shrews),Shrews,Andaman Spiny Shrew,Crocidura hispida,Vulnerable
Soricidae (Shrews),Shrews,Anderson's Shrew,Suncus stoliczkanus,Vulnerable
"Bovidae (Cattle, Antelope, Sheep, Goat)",Wild sheep,Argali,Ovis ammon,Least Concern
Cercopithecidae (Old World Monkeys),Macaque,Arunachal macaque,Macaca munzala,Least Concern
Hipposideridae (Old World Leaf-Nosed Bats),Old World Leaf-Nosed Bats,Ashy Leaf-nosed Bat,Hipposideros cineraceus,Least Concern
Felidae (Cats),Small cats,Asian golden cat,Catopuma temminckii,Near Threatened
Soricidae (Shrews),Shrews,Asian Gray Shrew,Crocidura attenuate,Least Concern
Soricidae (Shrews),Shrews,Asian Highland Shrew,Suncus montanus,Vulnerable
Soricidae (Shrews),Shrews,Asian Musk Shrew,Suncus murinus,Vulnerable
Viverridae (Civets And Palm Civets),Civets And Palm Civets,Asian palm civet,Paradoxurus hermaphroditus,Least Concern
Sciuridae (Squirrels),Squirrels,Asian Red-cheeked Squirrel,Dremomys rufigenis,Least Concern
Ursidae (Bears),Bears,Asiatic black bear,Ursus thibetanus,Vulnerable
Elephantidae (Elephants),Elephant,Asiatic Elephant,Elephas maximus,Endangered
Felidae (Cats),Big cats,Asiatic Lion,Panthera leo,Vulnerable
Equidae (Asses),Wild ass,Asiatic Wild Ass,Equus hemionus,Near Threatened
Soricidae (Shrews),Shrews,Assam Mole Shrew,Anourosorex assamensis,Least Concern
Cercopithecidae (Old World Monkeys),Macaque,Assamese Macaque,Macaca assamensis,Least Concern
"Mustelidae (Badgers, Otters, Weasels)",Martens and weasels,Back-striped Weasel,Mustela strigidorsa,Least Concern
Cricetidae (New World Rodents),New World Rodents,Baluchistan Gerbil,Gerbillus nanus,Least Concern
Erinaceidae (Hedgehogs),Hedgehogs,Bare-bellied Hedgehog,Paraechinus nudiventris,Data Deficient
Rhinolophidae (Horseshoe Bats),Horseshoe Bats,Beddomme's Horseshoe Bat,Rhinolophus beddomei,Least Concern
"Mustelidae (Badgers, Otters, Weasels)",Martens and weasels,Beech Marten,Martes foina,Least Concern
"Canidae (Dogs, Wolves, Jackals, Foxes)",Fox,Bengal Fox,Vulpes bengalensis,Least Concern
Hystricidae (Old World Porcupines),Porcupines,Bengal porcupine,Hystrix brachyura,Least Concern
Lorisidae (Lorises),Lorises,Bengal Slow Loris,Nycticebus bengalensis,Least Concern
Felidae (Cats),Big cats,Bengal tiger,Panthera tigris,Endangered
"Bovidae (Cattle, Antelope, Sheep, Goat)",Wild-goat,Bharal,Pseudois nayaur,Least Concern
Sciuridae (Squirrels),Flying squirrels,Bhutan Giant Flying,Petaurista nobilis,Least Concern
Rhinolophidae (Horseshoe Bats),Horseshoe Bats,Big-eared Horseshoe Bat,Rhinolophus macrotis,Near Threatened
Viverridae (Civets And Palm Civets),Civets And Palm Civets,Binturong,Arctictis binturong,Endangered
Sciuridae (Squirrels),Giant squirrels,Black Giant Squirrel,Ratufa bicolor,Least Concern
Moschidae (Musk Deer),Musk Deer,Black Musk Deer,Moschus fuscus,Endangered
Emballonuridae (Sheath-Tailed Bats),Sheath-tailed bats,Black-bearded Tomb Bat,Taphozous melanopogon,Vulnerable
"Bovidae (Cattle, Antelope, Sheep, Goat)",Antelope,Blackbuck,Antilope cervicapra,Endangered
Pteropodidae (Old World Fruit Bats),Old World Fruit Bats,Black-eared Flying Fox,Pteropus melanotus,Least Concern
Cercopithecidae (Old World Monkeys),Langur,Black-footed gray langur,Semnopithecus hypoleucos,Vulnerable
Ziphiidae (Beaked Whales),Whales,Blainville's Beaked Whale,Mesoplodon densirostris,Least Concern
"Canidae (Dogs, Wolves, Jackals, Foxes)",Fox,Blanford's Fox,Vulpes cana,Least Concern
Pteropodidae (Old World Fruit Bats),Old World Fruit Bats,Blanford's Fruit Bat,Sphaerias blanfordi,Vulnerable
Cricetidae (New World Rodents),Rats,Blanford's Rat,Madromys blanfordi,Least Concern
Balaenopteridae (Rorquals),Whales,Blue Whale,Balaenoptera musculus,Endangered
Balaenopteridae (Rorquals),Whales,Blue Whale,Balaenoptera musculus,Endangered
Cricetidae (New World Rodents),Voles,Blyth's Mountain Vole,Phaiomys leucurus,Least Concern
Cricetidae (New World Rodents),Mouse,Bonhote's Mouse,Mus famulus,Data Deficient
Cercopithecidae (Old World Monkeys),Macaque,Bonnet Macaque,Macaca radiate,Least Concern
Delphinidae (Marine Dolphins),Marine Dolpins,Bottlenose Dolphin,Tursiops truncates,Vulnerable
Cricetidae (New World Rodents),New World Rodents,Bower's Berylmys,Berylmys bowersi,Endangered
Cricetidae (New World Rodents),Niviventer,Brahman Niviventer,Niviventer brahma,Least Concern
Vespertilionidae (Vesper Bats),Vesper Bats (Others),Bronze Sprite,Arielulus circumdatus,Endangered
Ursidae (Bears),Bears,Brown Bear,Ursus arctos,Vulnerable
Vespertilionidae (Vesper Bats),Vesper Bats (Others),Brown Long-eared Bat,Plecotus auritus,Least Concern
Herpestidae (Mongooses),Mongooses,Brown Mongoose,Herpestes fuscus,Least Concern
Hystricidae (Old World Porcupines),Porcupines,Brush-tailed Porcupine,Atherurus macrourus,Endangered
Balaenopteridae (Rorquals),Whales,Bryde's Whale,Balaenoptera edeni,Endangered
"Mustelidae (Badgers, Otters, Weasels)",Badgers,Burmese Ferret Badger,I. Geoffroy,Least Concern
Vespertilionidae (Vesper Bats),Myotis (vesper bats),Burmese Whiskered Myotis,Myotis montivagus,Least Concern
Vespertilionidae (Vesper Bats),Pipistrelle (Vesper Bats),Cadorna's Pipistrelle,Pipistrellus cadornae,Least Concern
Hipposideridae (Old World Leaf-Nosed Bats),Old World Leaf-Nosed Bats,Cantor's Leaf-nosed Bat,Hipposideros galeritus,Least Concern
Cercopithecidae (Old World Monkeys),Langur,Capped langur,Trachypithecus pileatus,Vulnerable
Cricetidae (New World Rodents),Rats,Car Nicobar Rat,Rattus palmarum,Data Deficient
Felidae (Cats),Small cats,Caracal,Caracal caracal,Least Concern
Cricetidae (New World Rodents),Rats,Chestnut Rat,Niviventer fulvescens,Least Concern
Dipodidae (Birch Mice),Mouse,Chinese Birch mouse,Sicista concolor,Vulnerable
"Mustelidae (Badgers, Otters, Weasels)",Badgers,Chinese Ferret-badger,Melogale moschata,Least Concern
"Bovidae (Cattle, Antelope, Sheep, Goat)",Goat-antelope,Chinese Goral,Naemorhedus griseus,Vulnerable
Soricidae (Shrews),Shrews,Chinese Mole Shrew,Anourosorex squamipes,Endangered
Manidae (Pangolins),Pangolins,Chinese Pangolin,Manis pentadactyla,Least Concern
Rhinolophidae (Horseshoe Bats),Horseshoe Bats,Chinese Rufous Horseshoe,Rhinolophus sinicus,Near Threatened
Vespertilionidae (Vesper Bats),Myotis (vesper bats),Chinese Water Myotis,Myotis laniger,Least Concern
Soricidae (Shrews),Shrews,Chinese White-toothed Shrew,Crocidura rapax,Least Concern
"Bovidae (Cattle, Antelope, Sheep, Goat)",Antelope,Chiru,Pantholops hodgsonii,Least Concern
Cervidae (Deer),Deer,Chital,Axis axis,Endangered
Vespertilionidae (Vesper Bats),Pipistrelle (Vesper Bats),Chocolate Pipistrelle,Falsistrellus affinis,Least Concern
Felidae (Cats),Big cats,Clouded Leopard,Neofelis nebulosa,Vulnerable
Cricetidae (New World Rodents),Rats,Comman House Rat,Rattus rattus,Least Concern
Cricetidae (New World Rodents),New World Rodents,Common Metad,Millardia meltada,Least Concern
Balaenopteridae (Rorquals),Whales,Common Minke Whale,Balaenoptera acutorostrata,Endangered
Vespertilionidae (Vesper Bats),Pipistrelle (Vesper Bats),Common Pipistrelle,Pipistrellus pipistrellus,Least Concern
Vespertilionidae (Vesper Bats),Vesper Bats (Others),Common Serotine,Eptesicus serotinus,Least Concern
Cricetidae (New World Rodents),Voles,Conifer Kashmir Vole,Hyperacrius wynnei,Least Concern
Cricetidae (New World Rodents),Mouse,Cook's Mouse,Mus cookii,Least Concern
Cercopithecidae (Old World Monkeys),Macaque,Crab-eating Macaque,Macaca fascicularis,Least Concern
Herpestidae (Mongooses),Mongooses,Crab-eating Mongoose,Herpestes urva,Least Concern
Cricetidae (New World Rodents),New World Rodents,Crump's Diomys,Diomys crumpi,Least Concern
Cricetidae (New World Rodents),Rats,Cutch Rock Rat,Cremnomys cutchicus,Least Concern
Ziphiidae (Beaked Whales),Whales,Cuvier's Beaked Whale,Ziphius cavirostris,Least Concern
Vespertilionidae (Vesper Bats),Vesper Bats (Others),Daubenton's Bat,Myotis daubentonii,Least Concern
Pteropodidae (Old World Fruit Bats),Old World Fruit Bats,Dawn Bat,Eonycteris spelaean,Least Concern
Soricidae (Shrews),Shrews,Day's Shrew,Suncus dayi,Data Deficient
Vespertilionidae (Vesper Bats),Vesper Bats (Others),Desert Bat,Otonycteris hemprichii,Least Concern
Vespertilionidae (Vesper Bats),Vesper Bats (Others),Desert Yellow Lesser bat,Scotoecus pallidus,Near Threatened
"Canidae (Dogs, Wolves, Jackals, Foxes)",Wild dog,Dhole,Cuon alpinus,Endangered
Hipposideridae (Old World Leaf-Nosed Bats),Old World Leaf-Nosed Bats,Diadem Leaf-nosed Bat,Hipposideros diadema,Least Concern
Rhinolophidae (Horseshoe Bats),Horseshoe Bats,Dobson's Horseshoe Bat,Rhinolophus yunanensis,Near Threatened
Vespertilionidae (Vesper Bats),Pipistrelle (Vesper Bats),Dormer's Pipistrelle,Scotozous dormeri,Vulnerable
Hipposideridae (Old World Leaf-Nosed Bats),Old World Leaf-Nosed Bats,Dusky Leaf-nosed Bat,Hipposideros ater,Least Concern
Sciuridae (Squirrels),Squirrels,Dusky Striped Squirrel,Funambulus sublineatus,Least Concern
Physeteridae (Sperm Whales),Whales,Dwarf Sperm Whale,Kogia sima,Least Concern
Cricetidae (New World Rodents),Mouse,Earth-colored Mouse,Mus terricolor,Least Concern
Hipposideridae (Old World Leaf-Nosed Bats),Old World Leaf-Nosed Bats,East Asian Tailess,Coelops frithii,Least Concern
Vespertilionidae (Vesper Bats),Vesper Bats (Others),Eastern Barbastelle,Barbastella leucomelas,Endangered
Hylobatidae (Gibbons),Gibbons,Eastern Hoolock Gibbon,Hoolock leuconedys,Vulnerable
Cervidae (Deer),Deer,Eastern Swamp,Rucervus duvaucelii ranjitsinhii,Near Threatened
Cricetidae (New World Rodents),New World Rodents,Edward's Leopoldamys,Leopoldamys edwardsi,Least Concern
Molossidae (Free-Tailed Bats),Free-Tailed Bats,Egyptian Free-tailed Bat,Tadarida aegyptiaca,Vulnerable
Pteropodidae (Old World Fruit Bats),Old World Fruit Bats,Egyptian Rousette,Rousettus aegyptiacus,Near Threatened
Emballonuridae (Sheath-Tailed Bats),Sheath-tailed bats,Egyptian Tomb Bat,Taphozous perforates,Vulnerable
Cervidae (Deer),Deer,Eld's Deer,Rucervus eldii,Endangered
Soricidae (Shrews),Shrews,Elegant Water Shrew,Nectogale elegans,Least Concern
Cricetidae (New World Rodents),Mouse,Elliot's Spiny Mouse,Mus saxicola,Least Concern
"Mustelidae (Badgers, Otters, Weasels)",Martens and weasels,Ermine,Mustela erminea,Least Concern
Soricidae (Shrews),Shrews,Etruscan Shrew,Suncus etruscus,Vulnerable
Felidae (Cats),Small cats,Eurasian Lynx,Lynx lynx,Least Concern
Soricidae (Shrews),Shrews,Eurasian Pygmy Shrew,Sorex minutus,Vulnerable
Molossidae (Free-Tailed Bats),Free-Tailed Bats,European Free-tailed Bat,Tadarida teniotis,Vulnerable
"Mustelidae (Badgers, Otters, Weasels)",Otters,Eurasian Otter,Lutra lutra,Near Threatened
Delphinidae (Marine Dolphins),Marine Dolpins,False Killer Whale,Pseudorca crassidens,Least Concern
Cricetidae (New World Rodents),Mouse,Fawn-colored Mouse,Mus cervicolor,Least Concern
Balaenopteridae (Rorquals),Whales,Fin Whale,Balaenoptera physalus,Endangered
Phocoenidae (Porpoises),Porpoises,Finless Porpoise,Neophocaena phocaenoides,Least Concern
Felidae (Cats),Small cats,Fishing Cat,Prionailurus viverrinus,Least Concern
Cricetidae (New World Rodents),Mouse,Flat-haired Mouse,Mus platythrix,Data Deficient
Ochotonidae(Pikas),Pikas,Forrest's Pika,Ochotona forresti,Least Concern
"Bovidae (Cattle, Antelope, Sheep, Goat)",Antelope,Four-horned Antelope,Tetracerus quadricornis,Vulnerable
Delphinidae (Marine Dolphins),Marine Dolpins,Fraser's Dolphin,Lagenodelphis hosei,Least Concern
Hipposideridae (Old World Leaf-Nosed Bats),Old World Leaf-Nosed Bats,Fulvus Leaf-nosed Bat,Hipposideros fulvus,Least Concern
