Family,Group,English Name,Scientific Name,IUCN Category
Acrochordidae (File snake and snail-eaters),File snake,File snake,Acrochordus granulatus,Least Concern
Acrochordidae (File snake and snail-eaters),Snail-eater,Darjeeling snail-eater,Pareas macularius,Not Evaluated
Acrochordidae (File snake and snail-eaters),Snail-eater,Assam snail-eater,Pareas monticola,Not Evaluated
Agamidae (Dragons),Calotes lizards,Orange- lipped forest lizard,Calotes aurantolabium,Data Deficient
Agamidae (Dragons),Calotes lizards,Hardwicke's bloodsucker,Calotes minor,Data Deficient
Agamidae (Dragons),Calotes lizards,Indian kangaroo lizard,Otocryptis beddomii,Endangered
Agamidae (Dragons),Calotes lizards,Elliot's forest lizard,Calotes ellioti,Least Concern
Agamidae (Dragons),Calotes lizards,Large scaled forest lizard,Calotes grandisquamis,Least Concern
Agamidae (Dragons),Calotes lizards,Nilgiri forest lizard,Calotes nemoricola,Least Concern
Agamidae (Dragons),Calotes lizards,Roux's forest lizard,Calotes rouxii,Least Concern
Agamidae (Dragons),Flying lizards,South Indian flying lizard,Draco dussumieri,Least Concern
Agamidae (Dragons),Flying lizards,Spotted flying lizard,Draco maculatus,Least Concern
Agamidae (Dragons),Mountain lizards,Three-keeled mountain lizard,Japalura tricarinata,Least Concern
Agamidae (Dragons),Mountain lizards,Variegated mountain lizard,Japalura variegata,Least Concern
Agamidae (Dragons),Agamas,Theobald's toad – headed agama,Phrynocephalus theobaldi,Least Concern
Agamidae (Dragons),Agamas,Blanford's rock agama,Psammophilus blanfordanus,Least Concern
Agamidae (Dragons),Agamas,South Indian rock agama,Psammophilus dorsalis,Least Concern
Agamidae (Dragons),Spiny lizard,Anaimalai spiny lizard,Salea anamallayana,Least Concern
Agamidae (Dragons),Spiny lizard,Horsfield's spiny lizard,Salea horsfieldii,Least Concern
Agamidae (Dragons),Fan-throated lizard,Pondichery Fan-throated lizard,Sitana ponticeriana,Least Concern
Agamidae (Dragons),Long-tailed lizard,Crested long-tailed lizard,Bronchocela cristatella,Not Evaluated
Agamidae (Dragons),Long-tailed lizard,Daniel's long-tailed lizard,Bronchocela danieli,Not Evaluated
Agamidae (Dragons),Long-tailed lizard,Red-throated long-tailed lizard,Bronchocela rubrigularis,Not Evaluated
Agamidae (Dragons),Toad-headed lizard,Laungawala toad- headed lizard,Bufoniceps laungwalaensis,Not Evaluated
Agamidae (Dragons),Calotes lizards,Common green forest lizard,Calotes calotes,Not Evaluated
Agamidae (Dragons),Calotes lizards,Emma Gray's forest lizard,Calotes emma,Not Evaluated
Agamidae (Dragons),Calotes lizards,Jerdon's Forest Lizard,Calotes jerdoni,Not Evaluated
Agamidae (Dragons),Calotes lizards,Khasi hills forest Lizard,Calotes maria,Not Evaluated
Agamidae (Dragons),Calotes lizards,Moustached forest lizard,Calotes mystaceus,Not Evaluated
Agamidae (Dragons),Calotes lizards,Indian garden lizard,Calotes versicolor,Not Evaluated
Agamidae (Dragons),Island forest lizard,Short-tailed Island lizard,Coryphophylax brevicaudus,Not Evaluated
Agamidae (Dragons),Island forest lizard,Bay Islands forest lizard,Coryphophylax subcristatus,Not Evaluated
Agamidae (Dragons),Flying lizards,Blanford's forest lizard,Draco blanfordii,Not Evaluated
Agamidae (Dragons),Mountain lizards,Anderson's mountain lizard,Japalura andersoniana,Not Evaluated
Agamidae (Dragons),Mountain lizards,Smith's mountain lizard,Japalura kaulbacki,Not Evaluated
Agamidae (Dragons),Mountain lizards,Kumaon mountain lizard,Japalura kumaonensis,Not Evaluated
Agamidae (Dragons),Mountain lizards,Large mountain lizard,Japalura major,Not Evaluated
Agamidae (Dragons),Mountain lizards,Ota's mountain Lizard,Japalura otai,Not Evaluated
Agamidae (Dragons),Mountain lizards,Smooth-scaled mountain lizard,Japalura planidorsata,Not Evaluated
Agamidae (Dragons),Mountain lizards,Burmese mountain lizard,Japalura sagittifera,Not Evaluated
Agamidae (Dragons),Agamas,Agror agama,Laudakia agrorensis,Not Evaluated
Agamidae (Dragons),Agamas,Haridwar agama,Laudakia dayana,Not Evaluated
Agamidae (Dragons),Agamas,Himalayan agama,Laudakia himalayana,Not Evaluated
Agamidae (Dragons),Agamas,Black agama,Laudakia melanura,Not Evaluated
Agamidae (Dragons),Agamas,Kashmir rock agama,Laudakia tuberculata,Not Evaluated
Agamidae (Dragons),Calotes lizards,Small forest lizard,Oriocalotes paulus,Not Evaluated
Agamidae (Dragons),Calotes lizards,Andaman forest lizard,Pseudocalotes andamanensis,Not Evaluated
Agamidae (Dragons),Calotes lizards,Abor hills agama,Pseudocalotes austenianus,Not Evaluated
Agamidae (Dragons),Fan-throated lizard,Green fan -throated lizard,Ptyctolaemus gularis,Not Evaluated
Agamidae (Dragons),Fan-throated lizard,Darwin's fan- throated lizard,Sarada darwini,Not Evaluated
Agamidae (Dragons),Fan-throated lizard,Deccan fan-throated lizard,Sarada deccanensis,Not Evaluated
Agamidae (Dragons),Fan-throated lizard,Superb fan-throated lizard,Sarada superba,Not Evaluated
Agamidae (Dragons),Fan-throated lizard,Flat-headed fan-throated lizard,Sitana laticeps,Not Evaluated
Agamidae (Dragons),Fan-throated lizard,Coastal plains fan- throated lizard,Sitana marudhamneydhal,Not Evaluated
Agamidae (Dragons),Fan-throated lizard,Spiny-headed fan-throated lizard,Sitana spinaecephalus,Not Evaluated
Agamidae (Dragons),Fan-throated lizard,Southern fan- throated lizard,Sitana visiri,Not Evaluated
Agamidae (Dragons),Agamas,Brilliant ground agama,Trapelus agilis,Not Evaluated
Agamidae (Dragons),Agamas,Afghan ground agama,Trapelus megalonyx,Not Evaluated
Agamidae (Dragons),Fan-throated lizard,Attenborough's fan-throated lizard,Sitana attenboroughii,Not Evaluated
Anguidae (Glass lizard),Glass lizard,Burma/ Asian glass lizard,Dopasia gracilis,Not Evaluated
Bataguridae (River terrapins),River terrapins,Northern River terrapin,Batagur baska,Critically Endangered
Bataguridae (River terrapins),River terrapins,Red-crowned roofed turtle,Batagur kachuga,Critically Endangered
Bataguridae (River terrapins),River terrapins,Three-striped roofed turtle,Batagur dhongoka,Endangered
Bataguridae (River terrapins),River terrapins,Keeled box turtle,Cuora mouhotii,Endangered
Bataguridae (River terrapins),River terrapins,Assam roofed turtle,Pangshura sylhetensis,Endangered
Bataguridae (River terrapins),River terrapins,Cochin forest cane turtle,Vijayachelys silvatica,Endangered
Bataguridae (River terrapins),River terrapins,Indian tent turtle,Pangshura tentoria,Least Concern
Bataguridae (River terrapins),River terrapins,Asian leaf-turtle,Cyclemys dentata,Near Threatened
Bataguridae (River terrapins),River terrapins,Indian black turtle,Melanochelys trijuga,Least Concern
Bataguridae (River terrapins),River terrapins,Gemel's leaf turtle,Cyclemys gemeli,Not Evaluated
Bataguridae (River terrapins),River terrapins,Brown roofed turtle,Pangshura smithii,Not Evaluated
Bataguridae (River terrapins),River terrapins,Indian roofed turtle,Pangshura tectum,Not Evaluated
Bataguridae (River terrapins),River terrapins,Southeast Asian box turtle,Cuora amboinensis,Vulnerable
